iter	Passed	Remaining
399	39506	59259
400	39600	59153
401	39686	59035
402	39776	58924
403	39871	58819
404	39965	58715
405	40056	58604
406	40156	58508
407	40251	58404
408	40345	58299
409	40433	58184
410	40535	58090
411	40630	57987
412	40728	57887
413	40830	57793
414	40930	57697
415	41031	57601
416	41130	57503
417	41222	57396
418	41317	57292
419	41410	57186
420	41502	57078
421	41603	56983
422	41698	56879
423	41791	56773
424	41883	56665
425	41975	56559
426	42066	56450
427	42170	56359
428	42260	56249
429	42353	56142
430	42446	56037
431	42545	55939
432	42639	55835
433	42736	55734
434	42823	55620
435	42921	55522
436	43032	55439
437	43131	55342
438	43226	55239
439	43325	55141
440	43418	55036
441	43516	54936
442	43608	54830
443	43705	54730
444	43799	54626
445	43888	54515
446	43978	54407
447	44074	54306
448	44168	54202
449	44259	54094
450	44350	53987
451	44446	53886
452	44540	53783
453	44633	53677
454	44723	53570
455	44817	53466
456	44915	53368
457	45010	53266
458	45113	53172
459	45213	53077
460	45309	52975
461	45408	52877
462	45508	52781
463	45606	52683
464	45702	52581
465	45813	52498
466	45904	52392
467	46006	52297
468	46099	52193
469	46195	52093
470	46290	51991
471	46389	51893
472	46490	51797
473	46590	51701
474	46695	51610
475	46790	51509
476	46904	51427
477	47005	51331
478	47103	51233
479	47203	51137
480	47307	51045
481	47404	50944
482	47502	50846
483	47603	50750
484	47696	50647
485	47791	50545
486	47885	50442
487	47985	50345
488	48082	50245
489	48173	50139
490	48269	50039
491	48365	49938
492	48461	49838
493	48563	49743
494	48659	49642
495	48753	49539
496	48841	49430
497	48931	49324
498	49028	49224
499	49121	49121
500	49212	49015
501	49304	48911
502	49400	48811
503	49513	48727
504	49614	48631
505	49716	48537
506	49808	48433
507	49902	48330
508	50002	48233
509	50096	48131
510	50190	48029
511	50285	47928
512	50374	47821
513	50477	47728
514	50571	47625
515	50666	47524
516	50762	47423
517	50851	47317
518	50945	47215
519	51044	47117
520	51142	47020
521	51227	46909
522	51325	46811
523	51426	46715
524	51520	46613
525	51634	46530
526	51731	46430
527	51830	46333
528	51922	46229
529	52017	46128
530	52113	46028
531	52212	45930
532	52304	45827
533	52403	45730
534	52499	45630
535	52597	45532
536	52693	45432
537	52784	45327
538	52879	45227
539	52971	45123
540	53067	45023
541	53158	44920
542	53251	44817
543	53340	44711
544	53441	44616
545	53534	44514
546	53630	44413
547	53731	44318
548	53833	44224
549	53934	44128
550	54028	44026
551	54118	43921
552	54219	43826
553	54319	43729
554	54416	43631
555	54519	43537
556	54608	43431
557	54704	43332
558	54803	43234
559	54900	43136
560	55004	43042
561	55103	42945
562	55202	42847
563	55295	42746
564	55395	42649
565	55492	42550
566	55593	42454
567	55684	42351
568	55775	42248
569	55875	42151
570	55984	42061
571	56081	41963
572	56175	41861
573	56269	41760
574	56358	41655
575	56452	41555
576	56544	41452
577	56631	41347
578	56722	41243
579	56810	41138
580	56924	41052
581	57048	40972
582	57141	40871
583	57233	40769
584	57327	40668
585	57424	40569
586	57514	40466
587	57606	40363
588	57693	40257
589	57793	40161
590	57885	40059
591	57995	39969
592	58100	39876
593	58193	39775
594	58292	39677
595	58386	39577
596	58486	39480
597	58588	39385
598	58687	39288
599	58785	39190
600	58890	39096
601	58993	39002
602	59096	38907
603	59188	38805
604	59282	38704
605	59376	38604
606	59470	38503
607	59570	38407
608	59665	38307
609	59758	38206
610	59856	38108
611	59954	38010
612	60048	37910
613	60150	37814
614	60250	37717
615	60344	37617
616	60443	37520
617	60539	37420
618	60631	37319
619	60725	37218
620	60818	37118
621	60918	37021
622	61013	36921
623	61108	36821
624	61199	36719
625	61298	36622
626	61396	36524
627	61494	36426
628	61585	36324
629	61686	36228
630	61782	36129
631	61881	36032
632	61976	35932
633	62072	35833
634	62173	35737
635	62278	35643
636	62375	35545
637	62487	35455
638	62582	35355
639	62685	35260
640	62778	35159
641	62876	35061
642	62972	34963
643	63070	34865
644	63168	34767
645	63265	34668
646	63367	34572
647	63466	34475
648	63562	34376
649	63657	34277
650	63751	34177
651	63842	34075
652	63944	33979
653	64038	33879
654	64131	33779
655	64231	33682
656	64327	33583
657	64430	33488
658	64521	33386
659	64621	33289
660	64718	33191
661	64808	33089
662	64902	32989
663	64997	32890
664	65094	32792
665	65188	32692
666	65284	32593
667	65376	32492
668	65472	32393
669	65569	32295
670	65660	32194
671	65752	32093
672	65842	31991
673	65940	31894
674	66035	31794
675	66127	31694
676	66214	31591
677	66304	31489
678	66408	31394
679	66503	31295
680	66593	31194
681	66687	31094
682	66791	30999
683	66896	30905
684	66995	30807
685	67090	30708
686	67180	30607
687	67274	30508
688	67371	30409
689	67462	30309
690	67559	30210
691	67666	30117
692	67773	30023
693	67874	29927
694	67977	29831
695	68075	29733
696	68170	29635
697	68267	29536
698	68363	29438
699	68464	29341
700	68564	29245
701	68660	29146
702	68762	29050
703	68867	28955
704	68974	28861
705	69076	28765
706	69170	28666
707	69269	28568
708	69383	28477
709	69483	28380
710	69586	28284
711	69692	28190
712	69802	28097
713	69909	28002
714	70015	27908
715	70127	27815
716	70223	27717
717	70318	27618
718	70422	27522
719	70514	27422
720	70625	27329
721	70731	27234
722	70841	27141
723	70960	27051
724	71070	26957
725	71178	26863
726	71276	26765
727	71381	26670
728	71481	26572
729	71579	26474
730	71673	26374
731	71768	26276
732	71866	26177
733	71966	26080
734	72060	25981
735	72153	25881
736	72246	25781
737	72346	25683
738	72442	25585
739	72535	25485
740	72623	25384
741	72718	25284
742	72806	25183
743	72903	25084
744	72993	24984
745	73083	24883
746	73177	24784
747	73285	24689
748	73391	24594
749	73477	24492
750	73572	24393
751	73658	24291
752	73756	24193
753	73858	24097
754	73956	23999
755	74050	23900
756	74147	23801
757	74243	23702
758	74340	23604
759	74437	23506
760	74527	23406
761	74618	23306
762	74713	23207
763	74815	23110
764	74917	23013
765	75017	22916
766	75111	22817
767	75204	22717
768	75294	22617
769	75398	22521
770	75487	22420
771	75581	22321
772	75667	22220
773	75757	22120
774	75859	22023
775	75955	21925
776	76052	21827
777	76145	21727
778	76244	21630
779	76340	21531
780	76432	21432
781	76534	21335
782	76633	21238
783	76721	21137
784	76811	21037
785	76914	20941
786	77007	20841
787	77100	20742
788	77191	20643
789	77281	20543
790	77380	20445
791	77477	20347
792	77574	20249
793	77674	20152
794	77764	20052
795	77857	19953
796	77958	19856
797	78056	19758
798	78147	19659
799	78256	19564
800	78354	19466
801	78450	19368
802	78549	19270
803	78649	19173
804	78741	19073
805	78841	18976
806	78944	18880
807	79042	18782
808	79133	18682
809	79228	18584
810	79333	18488
811	79426	18389
812	79517	18290
813	79625	18194
814	79729	18098
815	79825	17999
816	79919	17901
817	80019	17803
818	80123	17707
819	80211	17607
820	80309	17509
821	80406	17411
822	80502	17313
823	80598	17215
824	80692	17116
825	80787	17018
826	80888	16921
827	80978	16821
828	81070	16722
829	81164	16623
830	81263	16526
831	81359	16428
832	81458	16330
833	81552	16232
834	81644	16133
835	81746	16036
836	81848	15939
837	81945	15841
838	82042	15743
839	82134	15644
840	82232	15546
841	82332	15449
842	82433	15352
843	82532	15254
844	82629	15156
845	82728	15059
846	82824	14961
847	82921	14863
848	83014	14764
849	83102	14665
850	83190	14565
851	83292	14468
852	83385	14370
853	83481	14271
854	83574	14173
855	83665	14074
856	83763	13976
857	83858	13878
858	83953	13780
859	84046	13681
860	84145	13584
861	84236	13485
862	84336	13388
863	84428	13289
864	84527	13192
865	84618	13093
866	84713	12995
867	84808	12897
868	84902	12798
869	84991	12699
870	85085	12601
871	85177	12503
872	85272	12405
873	85372	12307
874	85471	12210
875	85560	12111
876	85658	12013
877	85753	11915
878	85853	11818
879	85951	11720
880	86043	11622
881	86141	11524
882	86237	11426
883	86336	11329
884	86432	11231
885	86528	11133
886	86625	11035
887	86721	10937
888	86824	10840
889	86920	10743
890	87015	10645
891	87116	10547
892	87209	10449
893	87306	10351
894	87394	10253
895	87493	10155
896	87580	10056
897	87676	9958
898	87773	9861
899	87862	9762
900	87956	9664
901	88046	9565
902	88136	9467
903	88236	9370
904	88334	9272
905	88427	9174
906	88528	9077
907	88630	8980
908	88721	8881
909	88824	8784
910	88915	8686
911	89008	8588
912	89103	8490
913	89188	8391
914	89290	8294
915	89383	8196
916	89473	8098
917	89564	8000
918	89675	7903
919	89788	7807
920	89897	7711
921	89996	7613
922	90101	7516
923	90203	7419
924	90309	7322
925	90413	7225
926	90529	7129
927	90634	7031
928	90747	6935
929	90856	6838
930	90959	6741
931	91061	6643
932	91167	6546
933	91275	6449
934	91378	6352
935	91481	6255
936	91578	6157
937	91677	6059
938	91775	5961
939	91874	5864
940	91975	5766
941	92073	5669
942	92171	5571
943	92269	5473
944	92360	5375
945	92453	5277
946	92554	5179
947	92661	5082
948	92758	4984
949	92859	4887
950	92958	4789
951	93053	4691
952	93146	4593
953	93254	4496
954	93351	4398
955	93481	4302
956	93593	4205
957	93692	4107
958	93790	4009
959	93891	3912
960	93988	3814
961	94085	3716
962	94187	3618
963	94288	3521
964	94387	3423
965	94483	3325
966	94578	3227
967	94669	3129
968	94776	3032
969	94879	2934
970	94974	2836
971	95067	2738
972	95164	2640
973	95271	2543
974	95366	2445
975	95465	2347
976	95558	2249
977	95650	2151
978	95747	2053
979	95848	1956
980	95953	1858
981	96049	1760
982	96148	1662
983	96249	1565
984	96350	1467
985	96441	1369
986	96541	1271
987	96633	1173
988	96737	1075
989	96831	978
990	96932	880
991	97034	782
992	97126	684
993	97230	586
994	97320	489
995	97417	391
996	97511	293
997	97603	195
998	97696	97
999	97794	0
